meal_name,meal_type,budget_tier,goal_type,calories,estimated_cost,is_active
Bánh mì bò áp chảo phô mai mỏng,breakfast,premium,maintain,475,87000,1
Trứng scramble + khoai tây áp chảo + salad,breakfast,premium,maintain,513,90000,1
Protein oatmeal xoài hạt chia,breakfast,premium,maintain,496,93000,1
Pancake yến mạch yogurt trái cây,breakfast,premium,maintain,509,96000,1
Hủ tiếu hải sản cao đạm,breakfast,premium,maintain,532,99000,1
Nui sốt bò bằm phô mai nhẹ,breakfast,premium,maintain,515,102000,1
Bánh mì cá ngừ bơ mini,breakfast,premium,maintain,553,106000,1
Xôi gà nấm phần kiểm soát,breakfast,premium,maintain,536,109000,1
Egg benedict kiểu healthy,breakfast,premium,maintain,549,112000,1
Pasta salad gà xé,breakfast,premium,maintain,572,115000,1
Smoothie bowl bơ chuối granola,breakfast,premium,maintain,555,118000,1
Croissant trứng gà hun khói phần nhỏ,breakfast,premium,maintain,592,121000,1
Cơm cuộn cá hồi trứng,breakfast,premium,maintain,575,124000,1
Bún chả premium nhiều rau,breakfast,premium,maintain,588,128000,1
Cháo yến mạch cá hồi,breakfast,premium,maintain,611,131000,1
Yogurt Hy Lạp + mật ong + hạt,breakfast,premium,maintain,594,134000,1
Wrap gà nướng kiểu healthy,breakfast,premium,maintain,632,137000,1
Poke breakfast bowl cá hồi,breakfast,premium,maintain,615,140000,1
Meal prep gạo lứt ức gà sốt nấm,lunch,premium,maintain,580,65000,1
Meal prep khoai nghiền bò áp chảo rau củ,lunch,premium,maintain,603,68000,1
Meal prep pasta sốt bò bằm salad,lunch,premium,maintain,587,71000,1
Meal prep cá hồi teriyaki cơm bông cải,lunch,premium,maintain,625,74000,1
Meal prep tôm bơ tỏi cơm rau,lunch,premium,maintain,608,78000,1
Cơm steak bò Úc + salad,lunch,premium,maintain,622,81000,1
Cơm cá hồi Na Uy + bí ngòi nướng,lunch,premium,maintain,645,84000,1
Cơm đùi gà hữu cơ nướng + bắp ngọt,lunch,premium,maintain,628,87000,1
Cơm heo thăn áp chảo + khoai nướng,lunch,premium,maintain,667,90000,1
Phở bò premium thêm rau,lunch,premium,maintain,650,93000,1
Hủ tiếu hải sản premium,lunch,premium,maintain,663,96000,1
Cơm cá tuyết áp chảo + spinach,lunch,premium,maintain,687,99000,1
Cơm bò sốt tiêu đen + nấm,lunch,premium,maintain,670,102000,1
Cơm tôm sú nướng + salad bơ,lunch,premium,maintain,708,106000,1
Mì Ý ức gà sốt kem nhẹ,lunch,premium,maintain,692,109000,1
Cơm gà pesto + rau củ,lunch,premium,maintain,705,112000,1
Bibimbap bò kiểu healthy,lunch,premium,maintain,728,115000,1
Cơm cá ngừ áp chảo + trứng lòng đào,lunch,premium,maintain,712,118000,1
Bún thịt nướng premium + rau,lunch,premium,maintain,750,121000,1
Cơm bò hầm rau củ,lunch,premium,maintain,733,124000,1
Poke bowl cá hồi kiểu Việt,lunch,premium,maintain,747,128000,1
Cơm gà mật ong mù tạt + salad,lunch,premium,maintain,770,131000,1
Sushi bowl cá hồi trứng bơ,lunch,premium,maintain,753,134000,1
Cơm cừu áp chảo + khoai nghiền,lunch,premium,maintain,792,137000,1
Salad bò áp chảo + bánh mì nguyên cám,lunch,premium,maintain,775,140000,1
Meal prep cá hồi + khoai lang + salad,dinner,premium,maintain,500,65000,1
Meal prep bò áp chảo + rau củ nướng,dinner,premium,maintain,523,68000,1
Meal prep ức gà sous vide + cơm rau,dinner,premium,maintain,507,71000,1
Meal prep pasta cá ngừ + rau xanh,dinner,premium,maintain,545,74000,1
Salad gà bơ phô mai + bánh mì nguyên cám,dinner,premium,maintain,528,78000,1
Salad cá hồi xông khói + khoai nướng,dinner,premium,maintain,542,81000,1
Cơm bò nướng đá + rau củ,dinner,premium,maintain,565,84000,1
Cơm tôm áp chảo bơ tỏi + bí ngòi,dinner,premium,maintain,548,87000,1
Cơm cá tuyết sốt chanh bơ nhẹ,dinner,premium,maintain,587,90000,1
Bún cá hồi thì là,dinner,premium,maintain,570,93000,1
Phở gà premium thêm rau,dinner,premium,maintain,583,96000,1
Oatmeal mặn bò bằm phô mai,dinner,premium,maintain,607,99000,1
Súp bí đỏ kem nhẹ + steak gà,dinner,premium,maintain,590,102000,1
Cơm heo Iberico áp chảo + salad,dinner,premium,maintain,628,106000,1
Cơm cá saba nướng Nhật,dinner,premium,maintain,612,109000,1
Gà cuộn phô mai + khoai nghiền,dinner,premium,maintain,625,112000,1
Pasta hải sản sốt cà,dinner,premium,maintain,648,115000,1
Sushi bowl tôm trứng bơ,dinner,premium,maintain,632,118000,1
Cơm gạo lứt bò cuộn măng tây,dinner,premium,maintain,670,121000,1
Cơm gà nướng thảo mộc + bắp,dinner,premium,maintain,653,124000,1
Cá hồi sốt miso nhẹ + cơm,dinner,premium,maintain,667,128000,1
Tacos bò kiểu healthy,dinner,premium,maintain,690,131000,1
Cháo yến mạch hải sản,dinner,premium,maintain,673,134000,1
Cơm đậu hũ non Nhật sốt bò,dinner,premium,maintain,712,137000,1
Salad cá ngừ áp chảo + bánh mì,dinner,premium,maintain,695,140000,1
Greek yogurt + granola + berries,snack,premium,maintain,200,65000,1
Protein smoothie chuối yến mạch,snack,premium,maintain,222,68000,1
Smoothie bơ whey sữa hạnh nhân,snack,premium,maintain,203,71000,1
Banana bread healthy + sữa,snack,premium,maintain,240,74000,1
Sandwich cá ngừ mini,snack,premium,maintain,222,78000,1
Phô mai que + táo,snack,premium,maintain,233,81000,1
Hạt mix cao cấp + yogurt,snack,premium,maintain,255,84000,1
Overnight oats mini,snack,premium,maintain,237,87000,1
2 trứng lòng đào + bánh mì nguyên cám,snack,premium,maintain,273,90000,1
Rice cake + bơ đậu phộng + chuối,snack,premium,maintain,255,93000,1
Pudding chia xoài,snack,premium,maintain,267,96000,1
Yogurt drink + granola bar,snack,premium,maintain,288,99000,1
Sữa protein cao + chuối,snack,premium,maintain,270,102000,1
Bánh quy yến mạch homemade,snack,premium,maintain,307,106000,1
Mini poke bowl cá hồi,snack,premium,maintain,288,109000,1
Hummus + bánh mì pita,snack,premium,maintain,300,112000,1
Cottage cheese + dứa,snack,premium,maintain,322,115000,1
Trái bơ + Greek yogurt,snack,premium,maintain,303,118000,1
Chocolate đen + hạnh nhân + sữa,snack,premium,maintain,340,121000,1
Granola protein cup,snack,premium,maintain,322,124000,1
Mini wrap gà xé,snack,premium,maintain,333,128000,1
Protein pancake 2 miếng,snack,premium,maintain,355,131000,1
Sinh tố berries chuối yogurt,snack,premium,maintain,337,134000,1
Bắp ngọt + phô mai,snack,premium,maintain,373,137000,1
Nut butter toast + mật ong,snack,premium,maintain,355,140000,1
